accession,orient,tract_start,tract_end,tract_len,hairpin_mfe,has_hairpin,hairpin_gc,gene_end_proximal,matches_reference,corroborated
NC_117229.1,+,5025,5031,7,0.0,False,0.13333333333333333,False,,False
NC_117229.1,+,10618,10624,7,-1.100000023841858,False,0.23333333333333334,False,,False
NC_117229.1,-,1556,1562,7,-2.200000047683716,False,0.23333333333333334,False,,False
NC_117229.1,-,2447,2453,7,-2.799999952316284,False,0.26666666666666666,True,,True
NC_117229.1,-,2466,2472,7,-1.600000023841858,False,0.3,True,,True
NC_117229.1,-,3059,3065,7,-3.700000047683716,True,0.23333333333333334,True,,True
NC_117229.1,-,4719,4725,7,-1.7999999523162842,False,0.3,True,,True
NC_117229.1,-,4962,4968,7,-2.5,False,0.3333333333333333,True,,True
NC_117229.1,-,8232,8238,7,-0.30000001192092896,False,0.3333333333333333,False,,False
NC_117229.1,-,11279,11285,7,-2.799999952316284,False,0.4,True,,True
NC_117243.1,+,1778,1784,7,-1.2999999523162842,False,0.3,False,,False
NC_117243.1,+,1851,1857,7,0.0,False,0.5333333333333333,False,,False
NC_117243.1,-,2236,2242,7,-3.299999952316284,True,0.6,False,,True
NC_117243.1,-,3502,3508,7,-3.0999999046325684,True,0.4,True,,True
NC_117243.1,-,4526,4532,7,-3.200000047683716,True,0.6,False,,True
NC_117243.1,-,6172,6178,7,-6.300000190734863,True,0.43333333333333335,True,,True
NC_117243.1,-,12806,12812,7,-5.300000190734863,True,0.5333333333333333,True,,True
NC_117269.1,-,12419,12425,7,0.0,False,0.23333333333333334,False,False,False
NC_117368.1,-,1559,1565,7,-1.100000023841858,False,0.43333333333333335,True,,True
NC_117368.1,-,2439,2445,7,-9.899999618530273,True,0.43333333333333335,True,,True
NC_117368.1,-,3106,3112,7,-2.0,False,0.43333333333333335,True,,True
NC_117368.1,-,4675,4681,7,-3.0,True,0.4666666666666667,True,,True
NC_117368.1,-,6525,6531,7,0.0,False,0.4666666666666667,False,,False
NC_117368.1,-,11227,11233,7,-4.800000190734863,True,0.36666666666666664,True,,True
NC_117394.1,+,9598,9604,7,-0.5,False,0.36666666666666664,False,,False
NC_117394.1,-,3689,3695,7,-1.2000000476837158,False,0.4,False,,False
NC_117410.1,+,5220,5226,7,0.0,False,0.4666666666666667,False,,False
NC_117410.1,-,7810,7816,7,-0.4000000059604645,False,0.3,False,,False
NC_117410.1,-,11620,11627,8,-3.700000047683716,True,0.43333333333333335,False,,True
NC_117410.1,-,11959,11965,7,-1.7999999523162842,False,0.36666666666666664,False,,False
NC_131414.1,+,4233,4239,7,-3.4000000953674316,True,0.4,False,,True
NC_131414.1,-,1638,1644,7,-1.2999999523162842,False,0.4,False,,False
NC_131414.1,-,2821,2827,7,0.0,False,0.26666666666666666,False,,False
NC_131414.1,-,3732,3738,7,-0.10000000149011612,False,0.4,False,,False
NC_131414.1,-,5589,5595,7,-5.900000095367432,True,0.3,True,,True
NC_131414.1,-,12142,12148,7,-1.7999999523162842,False,0.36666666666666664,False,,False
NC_139264.1,+,11853,11859,7,-3.5999999046325684,True,0.5,False,,True
NC_139264.1,+,11870,11876,7,-1.0,False,0.36666666666666664,False,,False
NC_139264.1,-,1475,1481,7,-2.5,False,0.6,True,,True
NC_139264.1,-,2443,2449,7,-7.099999904632568,True,0.4666666666666667,True,,True
NC_139264.1,-,3251,3257,7,-5.300000190734863,True,0.5,False,,True
NC_139264.1,-,5315,5321,7,-3.0,True,0.43333333333333335,False,,True
NC_139264.1,-,11809,11815,7,-4.599999904632568,True,0.5,True,,True
NC_139266.1,-,1697,1703,7,-0.4000000059604645,False,0.26666666666666666,False,,False
NC_139266.1,-,2924,2930,7,0.0,False,0.26666666666666666,True,,True
NC_139266.1,-,3580,3586,7,-3.5999999046325684,True,0.3333333333333333,False,,True
NC_139266.1,-,5549,5556,8,-4.300000190734863,True,0.3,False,,True
NC_139266.1,-,9753,9759,7,-4.0,True,0.4,False,,True
NC_139266.1,-,11914,11920,7,-9.0,True,0.4666666666666667,True,,True
NC_139267.1,+,11140,11146,7,-6.599999904632568,True,0.43333333333333335,False,,True
NC_139267.1,-,1707,1713,7,-1.7000000476837158,False,0.26666666666666666,True,,True
NC_139267.1,-,2054,2060,7,0.0,False,0.36666666666666664,False,,False
NC_139267.1,-,3106,3112,7,-1.7000000476837158,False,0.26666666666666666,True,,True
NC_139267.1,-,3863,3869,7,-2.0,False,0.3333333333333333,False,,False
NC_139267.1,-,5496,5502,7,-1.899999976158142,False,0.3333333333333333,True,,True
NC_139267.1,-,11891,11897,7,-8.100000381469727,True,0.4666666666666667,True,,True
NC_139361.1,-,1175,1181,7,0.0,False,0.26666666666666666,True,,True
NC_139361.1,-,2258,2264,7,-1.2000000476837158,False,0.3333333333333333,True,,True
NC_139361.1,-,2837,2843,7,-4.900000095367432,True,0.26666666666666666,True,,True
NC_139361.1,-,4376,4383,8,-7.0,True,0.36666666666666664,True,,True
NC_139361.1,-,5732,5738,7,-7.900000095367432,True,0.36666666666666664,True,,True
NC_139361.1,-,6826,6832,7,-0.699999988079071,False,0.4,False,,False
NC_139361.1,-,12002,12008,7,-0.0,False,0.0,True,,True
NC_139369.1,-,13326,13358,33,-0.0,False,0.0,True,,True
NC_139371.1,-,2343,2349,7,-3.200000047683716,True,0.3333333333333333,False,,True
NC_139372.1,-,9322,9328,7,-2.0999999046325684,False,0.43333333333333335,False,,False
NC_139375.1,-,11134,11140,7,-2.700000047683716,False,0.16666666666666666,False,,False
NC_139377.1,-,2155,2161,7,-2.9000000953674316,False,0.4,False,False,False
