accession,description,organism,taxonomy,molecule_type,topology,host,country,collection_date,sequence_length,source_length,source_gc_frequency,source_longest_run,n_features,n_feature_intervals,n_boundaries,boundary_window,n_runs,n_boundary_runs,n_nonboundary_runs,fraction_runs_boundary,processing_seconds,boundary_n_runs,boundary_total_bases_in_runs,boundary_mean_run_length,boundary_median_run_length,boundary_max_run_length,boundary_run_length_entropy,boundary_A_n_runs,boundary_A_mean_run_length,boundary_A_max_run_length,boundary_C_n_runs,boundary_C_mean_run_length,boundary_C_max_run_length,boundary_G_n_runs,boundary_G_mean_run_length,boundary_G_max_run_length,boundary_T_n_runs,boundary_T_mean_run_length,boundary_T_max_run_length,boundary_n_runs_ge_5,boundary_fraction_runs_ge_5,boundary_n_runs_ge_10,boundary_fraction_runs_ge_10,boundary_n_runs_ge_15,boundary_fraction_runs_ge_15,boundary_n_runs_ge_20,boundary_fraction_runs_ge_20,boundary_n_runs_ge_30,boundary_fraction_runs_ge_30,nonboundary_n_runs,nonboundary_total_bases_in_runs,nonboundary_mean_run_length,nonboundary_median_run_length,nonboundary_max_run_length,nonboundary_run_length_entropy,nonboundary_A_n_runs,nonboundary_A_mean_run_length,nonboundary_A_max_run_length,nonboundary_C_n_runs,nonboundary_C_mean_run_length,nonboundary_C_max_run_length,nonboundary_G_n_runs,nonboundary_G_mean_run_length,nonboundary_G_max_run_length,nonboundary_T_n_runs,nonboundary_T_mean_run_length,nonboundary_T_max_run_length,nonboundary_n_runs_ge_5,nonboundary_fraction_runs_ge_5,nonboundary_n_runs_ge_10,nonboundary_fraction_runs_ge_10,nonboundary_n_runs_ge_15,nonboundary_fraction_runs_ge_15,nonboundary_n_runs_ge_20,nonboundary_fraction_runs_ge_20,nonboundary_n_runs_ge_30,nonboundary_fraction_runs_ge_30,odds_ratio_boundary_ge_5,odds_ratio_boundary_ge_10,odds_ratio_boundary_ge_15,odds_ratio_boundary_ge_20,odds_ratio_boundary_ge_30,fetch_seconds,total_seconds
NC_139445.1,"MAG: Qinghai Lake virophage, complete genome",Qinghai Lake virophage,Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Polisuviricotina; Virophaviricetes; Priklausovirales; Omnilimnoviroviridae; Panaquavirovirus; Panaquavirovirus qinghaense,DNA,circular,,,2008-09-07,23379,23379,,10,51,50,100,250,16127,9353,6774,0.5799590748434302,0.092,9353,13773,1.4725756441783384,1.0,10,1.3326470321863855,3007,1.6109078816095777,10,1664,1.2584134615384615,5,1694,1.2497048406139315,4,2988,1.5789825970548863,8,113,0.012081685020848925,1,0.00010691756655618518,0,0.0,0,0.0,0,0.0,6774,9606,1.4180690876882196,1.0,7,1.2392461868363336,1996,1.50250501002004,7,1337,1.2430815258040389,4,1423,1.3225579761068167,5,2018,1.5178394449950445,7,40,0.00590493061706525,0,0.0,0,0.0,0,0.0,0,0.0,2.0424466636071346,2.1730553327987168,0.7242743358101246,0.7242743358101246,0.7242743358101246,0.002,0.118
NC_105837.1,"Essdubovirus chlorellae isolate SW01, complete genome",Essdubovirus chlorellae,Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Polisuviricotina; Virophaviricetes; Priklausovirales; Dishuiviroviridae; Essdubovirus,DNA,circular,,,,24744,24744,,10,17,17,34,250,17030,7078,9952,0.41561949500880796,0.072,7078,10373,1.465526985024018,1.0,10,1.3192622368858877,2189,1.58337140246688,9,1357,1.2829771554900515,6,1378,1.2474600870827286,5,2154,1.6002785515320335,10,95,0.013421870584910992,2,0.00028256569652444194,0,0.0,0,0.0,0,0.0,9952,14371,1.444031350482315,1.0,10,1.2838920361157489,2949,1.6032553407934893,10,2046,1.273704789833822,6,2146,1.2819198508853682,5,2811,1.5247242974030595,8,123,0.012359324758842443,1,0.00010048231511254019,0,0.0,0,0.0,0,0.0,1.0884154639811772,2.3437904802279848,1.4060182242000423,1.4060182242000423,1.4060182242000423,0.002,0.087
NC_115876.1,"Cedratvirus kamchatka isolate P4, complete genome",Cedratvirus kamchatka,Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Pimascovirales; Ocovirineae; Pithoviridae; Orthocedratvirinae; Alphacedratvirus; Alphacedratvirus rossiense,DNA,circular,,,12-Jul-2017,466767,466767,,10,1081,1080,2160,250,337787,206821,130966,0.6122822962399382,1.929,206821,287225,1.3887612959999227,1.0,10,1.1874576069794118,58495,1.4907769894862808,9,45488,1.2635860007034823,6,44681,1.2627738859918085,6,58157,1.4808535515931014,10,992,0.004796418158697618,1,4.835098950300018e-06,0,0.0,0,0.0,0,0.0,130966,179542,1.3709054258357132,1.0,7,1.1532182781804607,35728,1.453229959695477,7,29819,1.2786143063147657,5,29469,1.275170518171638,5,35950,1.4441168289290682,7,431,0.003290930470503795,0,0.0,0,0.0,0,0.0,0,0.0,1.458715955595069,1.8997125526724865,0.6332344557988411,0.6332344557988411,0.6332344557988411,0.021,2.302
NC_139440.1,"Thurisazvirus desmodi isolate DesRot/Peru/AYA11_DrDV-B, complete genome",Thurisazvirus desmodi,Viruses; Ribozyviria; Ribozyviria incertae sedis; Kolmioviridae; Thurisazvirus,RNA,circular,Desmodus rotundus (common vampire bat),,2016,1692,1692,,6,2,1,2,250,1134,566,568,0.4991181657848324,0.004,566,840,1.4840989399293287,1.0,5,1.34402523907205,108,1.4166666666666667,5,167,1.4610778443113772,4,129,1.5271317829457365,5,162,1.5185185185185186,5,5,0.0088339222614841,0,0.0,0,0.0,0,0.0,0,0.0,568,852,1.5,1.0,6,1.370208508723143,149,1.4496644295302012,5,134,1.5820895522388059,5,162,1.6358024691358024,5,123,1.2926829268292683,6,10,0.017605633802816902,0,0.0,0,0.0,0,0.0,0,0.0,0.5210108976805325,1.0035304501323918,1.0035304501323918,1.0035304501323918,1.0035304501323918,0.002,0.076
NC_116500.1,"Perideltavirus desmodi isolate DesRot/Peru/AYA14_DrDV-A, complete genome",Perideltavirus desmodi,Viruses; Ribozyviria; Ribozyviria incertae sedis; Kolmioviridae; Perideltavirus,RNA,circular,Desmodus rotundus (common vampire bat),,2016,1694,1693,,7,2,1,2,250,1129,556,573,0.4924712134632418,0.004,556,839,1.5089928057553956,1.0,6,1.3853534189823105,100,1.39,5,173,1.4682080924855492,5,127,1.6535433070866141,6,156,1.5128205128205128,5,6,0.01079136690647482,0,0.0,0,0.0,0,0.0,0,0.0,573,854,1.4904013961605584,1.0,7,1.3486870976613456,153,1.4640522875816993,4,143,1.5944055944055944,7,163,1.4723926380368098,5,114,1.4210526315789473,5,5,0.008726003490401396,0,0.0,0,0.0,0,0.0,0,0.0,1.22046073817191,1.0305480682839174,1.0305480682839174,1.0305480682839174,1.0305480682839174,0.001,0.008
NC_139403.1,"Cat Tien Odontotermes delta-like virus isolate hdv-like, complete genome",Cat Tien Odontotermes delta-like virus,Viruses; Ribozyviria; Ribozyviria incertae sedis; Kolmioviridae; Donvirus; Donvirus odontotermitis,DNA,circular,Odontotermes wallonensis,,2019,1687,1687,,8,2,1,2,250,1154,687,467,0.5953206239168111,0.004,687,981,1.4279475982532752,1.0,8,1.250376473667097,176,1.3352272727272727,6,166,1.4939759036144578,8,211,1.4834123222748816,4,134,1.3805970149253732,6,4,0.005822416302765648,0,0.0,0,0.0,0,0.0,0,0.0,467,706,1.511777301927195,1.0,6,1.3908210014922224,85,1.2941176470588236,4,152,1.736842105263158,5,128,1.484375,6,102,1.392156862745098,4,5,0.010706638115631691,0,0.0,0,0.0,0,0.0,0,0.0,0.553634368557558,0.68,0.68,0.68,0.68,0.001,0.006
NC_038235.1,"Human respiratory syncytial virus isolate HRSV/A/USA/001/198X, complete genome",human respiratory syncytial virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Orthopneumovirus; Orthopneumovirus hominis,cRNA,linear,,,,15222,15222,,7,34,33,42,250,10967,4651,6316,0.424090453177715,0.056,4651,6450,1.3867985379488281,1.0,7,1.1828554438530563,1594,1.611668757841907,7,1025,1.2380487804878049,4,743,1.2220726783310902,4,1289,1.321955003878976,7,40,0.008600301010535369,0,0.0,0,0.0,0,0.0,0,0.0,6316,8772,1.3888537048765042,1.0,7,1.1861245263156717,2118,1.5840415486307837,7,1173,1.2233589087809036,6,1199,1.20767306088407,4,1826,1.3877327491785323,7,55,0.00870804306523116,0,0.0,0,0.0,0,0.0,0,0.0,0.990827865705888,1.3579490486939696,1.3579490486939696,1.3579490486939696,1.3579490486939696,0.002,0.067
NC_001803.1,"Human respiratory syncytial virus A isolate HRSV/A/UK/S2.ts1C/1995, complete genome",Human respiratory syncytial virus A,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Orthopneumovirus; Orthopneumovirus hominis,RNA,linear,,,,15191,15191,,8,36,35,44,250,10937,4612,6325,0.42168784858736397,0.057,4612,6389,1.3852992194275802,1.0,8,1.1798180592265988,1578,1.6191381495564006,8,1012,1.2351778656126482,4,750,1.2133333333333334,4,1272,1.3160377358490567,7,39,0.008456201214223764,0,0.0,0,0.0,0,0.0,0,0.0,6325,8802,1.3916205533596837,1.0,7,1.191381284904684,2113,1.5849503076194984,7,1166,1.2212692967409948,6,1197,1.2197159565580618,6,1849,1.3893996755002704,6,58,0.0091699604743083,0,0.0,0,0.0,0,0.0,0,0.0,0.9253092181921306,1.3713821138211382,1.3713821138211382,1.3713821138211382,1.3713821138211382,0.002,0.069
NC_117253.1,"Cereal chlorotic mottle virus isolate M, complete genome",Cereal chlorotic mottle virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Gammanucleorhabdovirus; Gammanucleorhabdovirus cerealis,RNA,linear,Avena sativa,,01-Jan-1986,13800,13799,,6,8,7,14,250,10234,3702,6532,0.36173539183115105,0.042,3702,5019,1.3557536466774716,1.0,6,1.1244268738749577,1158,1.468048359240069,6,779,1.300385109114249,6,770,1.2532467532467533,4,995,1.3477386934673368,5,19,0.005132360886007563,0,0.0,0,0.0,0,0.0,0,0.0,6532,8780,1.3441518677281077,1.0,6,1.1011897830614819,2021,1.4324591786244434,6,1277,1.2537196554424432,5,1438,1.299721835883171,6,1796,1.3446547884187083,5,37,0.005664421310471525,0,0.0,0,0.0,0,0.0,0,0.0,0.9169702728383331,1.7643484132343012,1.7643484132343012,1.7643484132343012,1.7643484132343012,0.001,0.051
NC_139379.1,"Medicago sativa virus 1 isolate ZM1-NX2, complete genome",Medicago sativa virus 1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Deltanucleorhabdovirus; Deltanucleorhabdovirus medicagonis,cRNA,linear,Medicago sativa,,15-Sep-2019,14041,14040,,6,7,6,12,250,10529,3636,6893,0.3453319403552094,0.043,3636,4903,1.3484598459845984,1.0,6,1.1082373727490373,1174,1.469335604770017,6,724,1.3121546961325967,5,732,1.2117486338797814,4,1006,1.3330019880715707,6,25,0.006875687568756876,0,0.0,0,0.0,0,0.0,0,0.0,6893,9137,1.3255476570433773,1.0,6,1.0650220187417272,2144,1.419776119402985,6,1382,1.2713458755426919,5,1543,1.2812702527543747,5,1824,1.2933114035087718,6,27,0.003917017263890904,0,0.0,0,0.0,0,0.0,0,0.0,1.7630120952009365,1.8956414134469957,1.8956414134469957,1.8956414134469957,1.8956414134469957,0.001,0.052
NC_116975.1,"Strawberry virus 3 isolate Fragaria7, complete genome",Strawberry virus 3,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Deltanucleorhabdovirus; Deltanucleorhabdovirus fragariae,cRNA,linear,land plants,,2018,14433,14433,,6,12,11,22,250,10912,3715,7197,0.3404508797653959,0.054,3715,4961,1.3353970390309555,1.0,6,1.084083868827574,1193,1.42162615255658,6,755,1.2781456953642385,5,745,1.2348993288590604,5,1022,1.350293542074364,6,20,0.005383580080753701,0,0.0,0,0.0,0,0.0,0,0.0,7197,9472,1.3161039321939698,1.0,6,1.0455214332229459,2249,1.3952867941307248,6,1453,1.2491397109428768,6,1606,1.2982565379825655,5,1889,1.2885124404446797,6,32,0.004446297068222871,0,0.0,0,0.0,0,0.0,0,0.0,1.223048822372324,1.9371551608128112,1.9371551608128112,1.9371551608128112,1.9371551608128112,0.002,0.064
NC_139378.1,"Cytorhabdovirus tiliae isolate E54634 genome assembly, complete genome: monopartite",Cytorhabdovirus sp. 'tiliae',Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Betacytorhabdovirus; Betacytorhabdovirus tiliae,cRNA,linear,,,,14152,14152,,6,16,15,30,250,10243,3655,6588,0.35682905398808945,0.047,3655,5139,1.4060191518467853,1.0,6,1.2171014393337658,1132,1.476148409893993,6,647,1.2086553323029365,4,695,1.289208633093525,6,1181,1.5156646909398814,6,32,0.008755129958960328,0,0.0,0,0.0,0,0.0,0,0.0,6588,9013,1.368093503339405,1.0,6,1.1472285253842525,2016,1.4459325396825398,6,1253,1.2394253790901835,4,1439,1.330090340514246,5,1880,1.399468085106383,6,21,0.0031876138433515485,0,0.0,0,0.0,0,0.0,0,0.0,2.7397864713867164,1.8023526193407196,1.8023526193407196,1.8023526193407196,1.8023526193407196,0.002,0.058
NC_139377.1,"MAG: Taraxacum cytorhabdovirus 1 isolate PLE20SW, complete genome",Taraxacum cytorhabdovirus 1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Alphacytorhabdovirus; Alphacytorhabdovirus taraxaci,cRNA,linear,,,Sep-2020,13718,13718,,8,17,16,32,250,10342,3589,6753,0.34703152194933284,0.048,3589,4776,1.3307327946503205,1.0,7,1.0762058534671948,1040,1.4490384615384615,7,742,1.280323450134771,5,820,1.2621951219512195,4,987,1.3009118541033435,6,15,0.004179437169127891,0,0.0,0,0.0,0,0.0,0,0.0,6753,8942,1.3241522286391234,1.0,8,1.0623961278220195,1987,1.3925515853044792,6,1430,1.2370629370629371,5,1618,1.3368355995055625,8,1718,1.3055878928987195,5,25,0.0037020583444395084,0,0.0,0,0.0,0,0.0,0,0.0,1.1441803186514499,1.8814598133444769,1.8814598133444769,1.8814598133444769,1.8814598133444769,0.001,0.058
NC_117182.1,"Alphacytorhabdovirus sambuci isolate B15, complete genome",Alphacytorhabdovirus sambuci,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Alphacytorhabdovirus,cRNA,linear,elderberry (Sambucus nigra L.),,2015,12622,12622,,7,13,12,24,250,9596,3155,6441,0.328782826177574,0.049,3155,4216,1.3362916006339145,1.0,6,1.0859836759371855,873,1.3963344788087055,6,684,1.2982456140350878,6,767,1.2842242503259453,5,831,1.3525872442839952,6,15,0.004754358161648178,0,0.0,0,0.0,0,0.0,0,0.0,6441,8406,1.3050768514205868,1.0,7,1.0222719688225046,1802,1.3357380688124307,7,1447,1.2418797512093989,5,1547,1.3309631544925662,6,1645,1.3027355623100303,6,27,0.004191895668374476,0,0.0,0,0.0,0,0.0,0,0.0,1.1512324325889045,2.04135636190778,2.04135636190778,2.04135636190778,2.04135636190778,0.001,0.059
NC_117269.1,"Rudbeckia virus 1 isolate PQ, complete genome",rudbeckia virus 1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Betacytorhabdovirus; Betacytorhabdovirus rudbeckiae,cRNA,linear,Rudbeckia sp.,,2021,12502,12502,,7,6,5,10,250,8798,2740,6058,0.3114344169129348,0.036,2740,3975,1.4507299270072993,1.0,6,1.2914152829975616,852,1.6349765258215962,6,536,1.2742537313432836,5,516,1.2170542635658914,4,836,1.520334928229665,6,30,0.010948905109489052,0,0.0,0,0.0,0,0.0,0,0.0,6058,8527,1.4075602509078904,1.0,7,1.220858744154364,1865,1.552278820375335,7,1117,1.2184422560429722,5,1326,1.2812971342383108,6,1750,1.4697142857142858,5,51,0.00841862000660284,0,0.0,0,0.0,0,0.0,0,0.0,1.312613837234917,2.210727969348659,2.210727969348659,2.210727969348659,2.210727969348659,0.001,0.044
